"","tms","bs"
"1756","14",1
"1757","14",2
"1758","14",1
"1759","14",5
"1760","14",1
"1761","14",1
"1762","14",1
"1763","14",1
"1764","14",5
"1765","14",1
"1766","14",1
"1767","14",5
"1768","14",1
"1769","14",5
"1770","14",5
"1771","14",1
"1772","14",1
"1773","14",5
"1774","14",5
"1775","14",5
"1776","14",5
"1777","14",5
"1778","14",5
"1779","14",5
"1780","14",5
"1781","14",5
"1782","14",5
"1783","14",5
"1784","14",5
"1785","14",5
"1786","14",5
"1787","14",5
"1788","14",2
"1789","14",1
"1790","14",2
"1791","14",2
"1792","14",5
"1793","14",5
"1794","14",5
"1795","14",5
"1796","14",5
"1797","14",5
"1798","14",5
"1799","14",5
"1800","14",5
"1801","14",2
"1802","14",5
"1803","14",5
"1804","14",5
"1805","14",5
"1806","14",5
"1807","14",5
"1808","14",5
"1809","14",5
"1810","14",5
"1811","14",5
"1812","14",5
"1813","14",5
"1814","14",5
"1815","14",5
"1816","14",5
"1817","14",5
"1818","14",5
"1819","14",5
"1820","14",5
"1821","14",5
"1822","14",5
"1823","14",5
"1824","14",5
"1825","14",5
"1826","14",5
"1827","14",5
"1828","14",5
"1829","14",5
"1830","14",5
"1831","14",5
"1832","14",5
"1833","14",5
"1834","14",5
"1835","14",5
"1836","14",5
"1837","14",5
"1838","14",5
"1839","14",5
"1840","14",5
"1841","14",5
"1842","14",5
"1843","14",5
"1844","14",5
"1845","14",5
"1846","14",5
"1847","14",5
"1848","14",5
"1849","14",5
"1850","14",5
"1851","14",5
"1852","14",5
"1853","14",5
"1854","14",5
"1855","14",5
"1856","14",5
"1857","14",5
"1858","14",5
"1859","14",5
"1860","14",5
"1861","14",5
"1862","14",5
"1863","14",5
"1864","14",5
"1865","14",5
"1866","14",5
"1867","14",2
"1868","14",1
